created,downs,id,score,title,ups,url,status
2018-10-04 18:49:35,0,9lc230,17,"Una mujer mató a su pareja y confesó el crimen: ""A vos no te puedo mentir, maté a Mariel""",17,https://www.clarin.com/sociedad/mujer-mato-pareja-confeso-crimen-vos-puedo-mentir-mate-mariel_0_ASgQrgPjI.html,200
2018-10-07 02:56:12,0,9lzy3s,0,"El ""loco festejo"" del Loco Bielsa por el agónico empate del Leeds United en Inglaterra",0,https://www.clarin.com/deportes/futbol-internacional/loco-festejo-loco-bielsa-agonico-empate-leeds-united-inglaterra_0_pC7NC4H74.html,200
2018-10-06 22:08:49,0,9lxk8a,0,El mundo va a necesitar el doble de alimentos en 2050,0,https://www.clarin.com/politica/Entrevista-Luis-Pagani-Presidente-Arcor_3_2101019915.html,200
2018-10-06 21:50:04,0,9lxet6,4,"Rematan 18 autos secuestrados a bandas criminales: un Mini Cooper y cuatro BMW, entre los modelos ofrecidos",4,https://www.clarin.com/policiales/rematan-18-autos-secuestrados-bandas-criminales-mini-cooper-bmw-modelos-ofrecidos_0_Z8x2xQxlq.html,200
2018-10-06 13:24:01,0,9luf25,42,Descubrió que su esposa lo engañaba con una mujer y lo asesinaron a mazazos,42,https://www.clarin.com/policiales/historia-infidelidad-violencia-muerte-detras-asesinato-mazazos-penitenciario_0_YYPe4mNAi.html,200
2018-10-06 09:21:10,0,9lt842,51,La suba del gas será mayor a la esperada y en enero habrá un plus por la devaluación,51,https://www.clarin.com/economia/suba-gas-mayor-esperada-enero-plus-devaluacion_0_9dUdc6ZnI.html,200
2018-10-08 21:00:12,0,9mg4gu,17,Mataron para robar un auto y cayeron tras un tiroteo: tienen 16 y 17 años,17,https://www.clarin.com/policiales/mataron-robar-auto-cayeron-tiroteo-16-17-anos_0_dNyvF9QQw.html,200
2018-10-08 20:07:44,0,9mfnlc,3,Elezioni in Brasile: Erano necessarie alleanze con la ricerca del voto dell'elettorato di centro,3,https://www.clarin.com/mundo/elecciones-brasil-llego-hora-alianzas-conquista-votos-centro_0_yR4zPHdaM.html,200
2018-10-08 19:34:39,0,9mfdjm,52,"Entre la crisis y el clima de desconfianza, Diputados no sesiona hace más de tres meses",52,https://www.clarin.com/politica/crisis-clima-desconfianza-diputados-sesiona-hace-meses_0_y1_lnEDue.html,200
2018-10-08 16:12:56,0,9mdy2i,126,Detectan en Suiza una cuenta del club Independiente desde la que Hugo Moyano operó US$ 30 millones,126,https://www.clarin.com/politica/moyano-maneja-cuenta-suiza-independiente-opero-30-millones-declarar-afip_0_tBGTJU4bA.amp.html,200
2018-10-08 15:43:00,0,9mds24,24,Una cena entre policías de la Federal terminó a los tiros y con tres muertos,24,https://www.clarin.com/policiales/sangrienta-pelea-tiros-musica-alto-volumen-policias-guardia-muertos_0_RTxeqb0KR.html,200
2018-10-08 10:46:08,0,9mc92c,0,"Ángela Torres, durísima con Eduardo Feinmann: ""Sos una falta de respeto""",0,https://www.clarin.com/espectaculos/fama/angela-torres-durisima-eduardo-feinmann-sos-falta-respeto_0_vnOnh6zTa.html,200
2018-10-07 22:30:15,0,9m6v68,0,Electrodomésticos: la trama secreta de las marcas propias,0,https://www.clarin.com/economia/economia/electrodomesticos-trama-secreta-marcas-propias_0_gBJW8BmAf.html,200
2018-10-07 20:14:44,0,9m5ri2,6,"""El control"", la técnica de los ladrones para abrir autos sin que se active la alarma",6,https://www.clarin.com/policiales/control-tecnica-importada-colombia-bloquear-alarmas-robar-autos_0_DC6L4rYBe.html,200
2018-10-07 07:30:27,0,9m1tl4,9,El pueblo santiagueño en el que hay más de 3.000 sospechosos por un crimen satánico,9,https://www.clarin.com/policiales/pueblo-santiagueno-000-sospechosos-crimen-satanico_0_5E_BMGHgi.html,200
2018-10-09 22:04:53,0,9mqz7a,0,"Qué significa ""skere"", la palabra de moda entre los adolescentes",0,https://www.clarin.com/sociedad/significa-skere-palabra-moda-adolescentes_0_z_bKQwVki.html,200
2018-10-09 17:08:57,0,9mokra,35,Difunden en las redes un modelo de carta para que los usuarios impugnen el cargo extra,35,https://www.clarin.com/politica/aumento-gas-difunden-redes-modelo-carta-usuarios-impugnen-cargo-extra_0_31jPOp5ez.html,200
2018-10-09 06:16:44,0,9mksj8,9,Pakistán: en 2010 la condenaron a muerte por insultar al profeta Mahoma pero no se deciden a ejecutarla,9,https://www.clarin.com/mundo/pakistan-2010-condenaron-muerte-insultar-profeta-mahoma-deciden-ejecutarla_0_Uj5S0WO5T.html,200
2018-10-09 05:39:37,0,9mkip2,0,"El meteorólogo de TN y una peligrosa ""captura"" en vivo de una granizada",0,https://www.clarin.com/sociedad/meteorologo-tn-peligrosa-captura-vivo-granizada_0_Ird_-zMxi.html,200
2018-10-08 22:19:43,0,9mgvc9,4,Marita Monteleone: la historia de la voz más popular de la Argentina,4,https://www.clarin.com/espectaculos/marita-monteleone-historia-voz-popular-argentina-senora-telefonica_0_4p_4s_nIG.html,200
2018-10-08 21:30:53,0,9mgewl,46,"Aunque los “provida” quisieron frenarlo, se practicó un aborto no punible en el Hospital Rivadavia",46,https://www.clarin.com/sociedad/provida-quisieron-frenarlo-practico-aborto-punible-hospital-rivadavia_0_9CakaeCPY.html,200
2018-10-10 17:29:26,0,9mz0k7,1,Lanzan un sistema que permite usar la tarjeta de débito como si fuera de crédito,1,https://www.clarin.com/economia/empresas-y-negocios/lanzan-sistema-permite-usar-tarjeta-debito-credito_0_Ws93zSPhx.html,200
2018-10-10 09:08:09,0,9mw8pd,6,Trece minutos en el laberinto de Moreno,6,https://www.clarin.com/opinion/trece-minutos-laberinto-moreno_0_XMA0aWNHl.html,200
2018-10-10 05:59:51,0,9muwt2,26,La UCR propone que el Gobierno pague el cargo extra por el gas,26,https://www.clarin.com/politica/ucr-pide-gobierno-subsidie-mitad-cargo-extra-gas_0_srEC5kZZk.html,200
2018-10-10 05:14:31,0,9mukqm,41,"""Ollas no"": imputaron por falso testimonio a la vicedirectora en la causa de la maestra torturada en Moreno",41,https://www.clarin.com/sociedad/ollas-imputaron-falso-testimonio-vicedirectora-causa-maestra-torturada-moreno_0_8h3JHYEI9.html,200
2018-10-10 00:19:59,0,9ms5c3,12,"Guillermo Moreno atacó a Roberto Navarro: ""Sos un idiota útil""",12,https://www.clarin.com/politica/guillermo-moreno-ataco-roberto-navarro-sos-idiota-util_0_A5JFgsy7i.html,200
2018-10-11 05:44:48,0,9n58es,29,"Es pelirrojo, sintió que una publicidad era ""estigmatizante"" y la Justicia le dio la razón",29,https://www.clarin.com/sociedad/pelirrojo-sintio-publicidad-estigmatizante-justicia-dio-razon_0_352gFTXSh.html,200
2018-10-11 03:21:22,0,9n45t5,33,Aseguran que en una semana empezarán a bloquear 12 millones de líneas de celular no registradas,33,https://www.clarin.com/sociedad/aseguran-semana-empezaran-bloquear-12-millones-lineas-celular-registradas_0_-aLbzrIED.html,200
2018-10-11 00:49:44,0,9n2u6f,7,"Jet Smart presentó sus vuelos ""ultra low cost"" entre Argentina y Chile: cuánto cuestan los pasajes",7,https://www.clarin.com/viajes/jet-smart-presento-vuelos-ultra-low-cost-argentina-chile_0_2B9ICCR25.html,200
2018-10-10 22:33:49,0,9n1liw,14,Ni los Juegos Olímpicos de la Juventud 2018 se salvan de la reventa: piden hasta $ 1.000 por pases que son gratuitos,14,https://www.clarin.com/ciudades/juegos-olimpicos-juventud-2018-salvan-reventa-piden-1000-pases-gratuitos_0_cyJUINYSv.html,200
2018-10-10 21:58:39,0,9n19lo,51,"El Gobierno frena el retroactivo del gas: se hará cargo el Estado, en un plan de pago hasta 2021",51,https://www.clarin.com/politica/gobierno-frena-retroactivo-gas-hara-cargo-plan-pago-2021_0_16iv1avTY.html,200
2018-10-12 19:52:58,0,9nkxke,32,Un vagón de subte salió a la calle y chocó tres camionetas,32,https://www.clarin.com/ciudades/video-vagon-subte-salio-calle-choco-camionetas_0_Ea7mMjBac.html,200
2018-10-12 18:30:57,0,9nkakc,5,"Campaña K en las redes: ""Nuestros héroes"" Julio De Vido, Milagro Sala y Amado Boudou",5,https://www.clarin.com/politica/campana-redes-heroes-julio-vido-milagro-sala-amado-boudou_0_77M2qsbe1.amp.html,200
2018-10-12 14:56:29,0,9nix75,109,Un video muestra a un policía robando comida en un súper,109,https://www.clarin.com/policiales/video-muestra-policia-robando-comida-super_0_mZofOm4TO.html,200
2018-10-12 04:27:14,0,9nf2t9,7,Cómo registrar tu línea de celular para que no sea bloqueada - 11/10/2018 - Clarín.com,7,https://www.clarin.com/sociedad/registrar-linea-celular-bloqueada_0_FyPCPTkYk.html,200
2018-10-12 03:18:30,0,9nejha,22,"Broly, el argentino que obtuvo la plateada en break dance",22,https://www.clarin.com/videos/broly-argentino-obtuvo-plateada-break-dance_3_Sm6pxdMF5.html,200
2018-10-12 01:47:35,0,9nds35,31,Polémica en los Juegos Olímpicos de la Juventud por la indumentaria del equipo femenino de beach handball,31,https://www.clarin.com/entremujeres/moda/colaless-deporte_0_2-zue7hvL.html,200
2018-10-11 19:33:09,0,9nahi3,16,Los trabajadores de apps pidieron la inscripción como gremios,16,https://www.clarin.com/economia/trabajadores-apps-pidieron-inscripcion-gremio_0_0mOmgO00S.html,200
2018-10-11 18:39:50,0,9na1ul,35,Cuatro millones de euros que serán chatarra: el destino de los subtes contaminados que compraron al Metro de Madrid,35,https://www.clarin.com/ciudades/millones-euros-chatarra-destino-subtes-contaminados-compraron-metro-madrid_0_q6pVlaNGC.html,200
2018-10-14 05:22:06,0,9nynpx,5,Piquetes sin freno: en septiembre crecieron un 40% y esperan más para fin de año,5,https://www.clarin.com/ciudades/piquetes-septiembre_0_F4RcMnTic.html,200
2018-10-14 01:36:47,0,9nx1d3,137,Juegos Olímpicos de la Juventud: las chicas del beach handball se quedaron con la medalla de oro,137,https://www.clarin.com/deportes/polideportivo/juegos-olimpicos-juventud-chicas-beach-handball-quedaron-medalla-oro_0_QNWQ35DN6.html,200
2018-10-13 19:06:04,0,9ntzjl,11,Los muchachos de ahora usan gomina (y también maquillaje),11,https://www.clarin.com/economia/muchachos-ahora-usan-gomina-maquillaje_0_MN6NdYi5W.html,200
